,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Zhangye,26,CN,1577896115,41,38.94,100.46,19.6,3.47
85,Chuy,100,UY,1577896116,74,-33.69,-53.46,73.74,15.95
86,Khatanga,68,RU,1577896117,77,71.98,102.47,-4.95,9.71
87,Arraial do Cabo,78,BR,1577896118,55,-22.97,-42.02,91.4,21.92
88,Narsaq,2,GL,1577896119,51,60.91,-46.05,12.2,6.93
89,Bluff,0,AU,1577896120,76,-23.58,149.07,75.51,12.21
90,Bethel,90,US,1577896121,76,60.79,-161.76,-7.6,17.22
91,Coahuayana,0,MX,1577896123,48,18.62,-100.35,75.81,0.34
92,Puerto Ayora,75,EC,1577896124,65,-0.74,-90.35,82.4,8.05
93,Vao,100,EE,1577896125,91,59.1,26.19,33.37,9.06
94,Kumluca,23,TR,1577896126,79,36.37,30.29,46.67,2.17
95,Hobart,75,AU,1577895860,48,-42.88,147.33,64.4,11.41
96,Kaitangata,100,NZ,1577896128,91,-46.28,169.85,50.04,10.27
97,Avarua,100,CK,1577896129,88,-21.21,-159.78,80.6,17.22
98,Georgetown,20,GY,1577895957,70,6.8,-58.16,86.0,9.17
99,Ghanzi,100,BW,1577896132,53,-21.7,21.65,80.06,7.52
100,Sitka,0,US,1577896133,78,37.17,-99.65,34.0,11.81
101,San Cristobal,53,HN,1577896134,73,14.68,-86.92,70.03,2.62
102,Baykit,98,RU,1577896135,99,61.68,96.39,-4.16,2.39
103,Puri,100,ID,1577896136,95,-7.54,112.45,73.33,5.64
104,New Norfolk,75,AU,1577896137,48,-42.78,147.06,64.4,11.41
105,Ibiruba,0,BR,1577896139,60,-28.63,-53.09,84.56,9.44
106,Carnarvon,0,ZA,1577896140,7,-30.97,22.13,95.13,16.6
107,Birao,98,CF,1577896141,13,10.3,22.78,93.81,3.04
108,Te Anau,97,NZ,1577896142,99,-45.41,167.72,52.29,2.62
109,Cochrane,0,CL,1577896143,60,-47.25,-72.57,55.18,4.14
110,Saldanha,73,PT,1577896144,48,41.42,-6.55,50.52,1.83
111,Vila Velha,75,BR,1577896145,58,-3.71,-38.6,86.0,10.29
112,Yulara,0,AU,1577896146,34,-25.24,130.99,82.4,4.7
113,Ambilobe,100,MG,1577896147,84,-13.19,49.05,79.16,5.46
114,Bara,0,NG,1577896149,16,10.41,10.6,82.67,12.57
115,Kodiak,1,US,1577896150,69,39.95,-94.76,44.01,13.87
116,Norman Wells,90,CA,1577896151,83,65.28,-126.83,-13.0,6.93
117,Arlit,0,NE,1577896152,11,18.74,7.39,66.02,23.89
118,Havre-Saint-Pierre,90,CA,1577896153,92,50.23,-63.6,28.4,20.8
119,Sinnamary,66,GF,1577896154,69,5.38,-52.96,80.29,15.19
120,Kokopo,100,PG,1577896155,78,-4.34,152.27,81.79,4.9
121,Kavaratti,39,IN,1577896156,71,10.57,72.64,82.22,5.97
122,Peace River,20,CA,1577896157,85,56.23,-117.29,12.2,4.7
123,Whitecourt,40,CA,1577896159,100,54.14,-115.68,24.8,9.17
124,Turayf,100,SA,1577896160,57,31.68,38.65,50.0,3.36
125,Hay River,90,CA,1577896161,84,60.82,-115.79,6.8,5.82
126,Tevriz,100,RU,1577896162,93,57.51,72.4,19.65,7.81
127,Clyde River,1,CA,1577896163,75,70.47,-68.59,-13.0,10.29
128,Buraydah,40,SA,1577896164,48,26.33,43.97,62.6,6.93
129,Ninghai,1,CN,1577896165,75,29.29,121.42,48.99,6.71
130,Cape Town,20,ZA,1577895955,73,-33.93,18.42,80.01,27.51
131,Nouakchott,77,MR,1577896167,9,18.08,-15.98,78.8,16.11
132,Puerto del Rosario,0,ES,1577896003,37,28.5,-13.86,66.2,10.29
133,Lazaro Cardenas,90,MX,1577896170,56,28.39,-105.62,43.0,5.82
134,Santa Cecilia,19,CR,1577896171,42,9.85,-84.31,80.6,11.41
135,La Ronge,90,CA,1577896172,92,55.1,-105.3,21.2,3.8
136,Alofi,76,NU,1577896173,83,-19.06,-169.92,75.2,13.87
137,Abu Dhabi,24,AE,1577896166,49,24.47,54.37,73.4,2.24
138,Agadez,0,NE,1577896175,18,16.97,7.99,69.8,20.8
139,Lagoa,0,PT,1577896177,77,37.14,-8.45,64.0,9.17
140,Naryan-Mar,67,RU,1577896178,88,67.67,53.09,10.42,8.95
141,Cidreira,1,BR,1577896179,83,-30.17,-50.22,76.62,9.13
142,Broome,90,GB,1577896180,93,52.47,1.45,42.01,8.05
143,Kenora,75,CA,1577896181,92,49.76,-94.48,10.4,10.29
144,Barrow,100,AR,1577896182,73,-38.31,-60.23,67.57,9.91
145,Hithadhoo,58,MV,1577896183,76,-0.6,73.08,83.05,12.33
146,Batagay-Alyta,0,RU,1577896185,72,67.8,130.41,-29.04,1.92
147,Isla Mujeres,40,MX,1577896186,74,21.23,-86.73,82.4,9.17
148,Hasaki,20,JP,1577896187,92,35.73,140.83,34.0,2.24
149,Touros,75,BR,1577896125,62,-5.2,-35.46,86.0,10.29
150,Shinpokh,40,PK,1577896189,81,34.33,71.18,53.6,4.7
151,Sobolevo,35,RU,1577896190,92,54.43,31.9,28.06,10.13
152,Mombasa,20,KE,1577896192,83,-4.05,39.67,80.6,11.41
153,Anadyr,0,RU,1577896193,74,64.73,177.51,-25.01,13.42
154,Dikson,100,RU,1577896194,92,73.51,80.55,-1.19,27.67
155,Saint George,75,GR,1577896175,81,39.45,22.34,48.0,4.7
156,Luderitz,0,NA,1577896196,60,-26.65,15.16,73.4,23.04
157,Gat,100,SN,1577896197,24,14.69,-16.54,91.4,6.93
158,Mount Isa,9,AU,1577896198,43,-20.73,139.49,86.18,9.86
159,Ust-Ishim,100,RU,1577896199,93,57.69,71.17,17.74,8.46
160,Iki-Burul,40,RU,1577896201,93,45.82,44.65,35.6,17.9
161,Aquiraz,75,BR,1577896202,58,-3.9,-38.39,86.0,10.29
162,Tevaitoa,100,PF,1577896203,84,-16.78,-151.5,79.57,15.21
163,Sao Raimundo das Mangabeiras,64,BR,1577896204,70,-7.02,-45.48,84.07,4.7
164,Faya,2,SA,1577896205,72,18.39,42.45,60.8,11.41
165,San Patricio,40,PY,1577896207,32,-26.98,-56.83,95.43,9.06
166,Muyezerskiy,100,RU,1577896208,95,63.93,31.65,26.49,11.36
167,Itoman,71,JP,1577896209,59,26.12,127.67,62.6,6.93
168,Vila,0,IT,1577896210,52,45.18,8.4,48.2,3.36
169,Butag,78,PH,1577896211,81,12.63,123.94,80.62,22.91
170,Port Macquarie,15,AU,1577896212,83,-31.43,152.91,72.0,4.7
171,Rudsar,90,IR,1577896213,81,37.14,50.29,53.6,2.24
172,Shimoda,0,JP,1577896214,91,34.7,138.93,37.0,8.19
173,Mehamn,22,NO,1577896216,73,71.03,27.85,23.0,2.24
174,Bubaque,17,GW,1577896217,51,11.28,-15.83,79.81,10.65
175,Salinopolis,24,BR,1577896218,81,-0.61,-47.36,81.34,15.35
176,Ahuimanu,20,US,1577896219,69,21.44,-157.84,73.99,3.36
177,At-Bashi,39,KG,1577896220,45,41.17,75.81,0.36,8.1
178,Dauphin,20,CA,1577896221,92,51.15,-100.04,23.0,11.41
179,Mitsamiouli,90,KM,1577896222,74,-11.38,43.28,86.0,8.05
180,Talnakh,75,RU,1577896224,84,69.49,88.39,3.2,31.32
181,Geraldton,75,CA,1577896225,77,49.72,-86.95,1.4,3.36
182,Pringsewu,97,ID,1577896226,98,-5.36,104.98,70.63,3.62
183,Broken Hill,19,AU,1577896227,18,-31.97,141.45,71.6,11.41
184,Margate,75,AU,1577896228,48,-43.03,147.26,64.4,11.41
185,Kununurra,100,AU,1577896229,74,-15.77,128.74,84.2,5.86
186,Praia,75,BR,1577896231,51,-20.25,-43.81,84.2,4.7
187,Ahipara,83,NZ,1577896232,100,-35.17,173.16,57.99,12.84
188,Petropavl,100,KZ,1577896233,94,54.87,69.13,26.94,9.08
189,Villa Carlos Paz,75,AR,1577896234,65,-31.42,-64.5,78.01,6.93
190,Oranjestad,20,AW,1577896081,58,12.52,-70.03,86.0,18.34
191,Camacha,40,PT,1577896236,68,33.08,-16.33,68.0,13.87
192,Klaksvik,100,FO,1577896237,93,62.23,-6.59,46.4,11.41
193,Fort Nelson,40,CA,1577896238,84,58.81,-122.69,5.0,3.36
194,Gboko,5,NG,1577896240,19,7.32,9.0,82.72,6.53
195,Nikolskoye,75,RU,1577896241,95,59.7,30.79,36.0,11.18
196,East London,75,ZA,1577896242,83,-33.02,27.91,69.8,12.75
197,Sol-Iletsk,100,RU,1577896243,96,51.16,55.0,30.25,14.41
198,Ostrovnoy,27,RU,1577896244,96,68.05,39.51,5.16,10.85
199,Butaritari,100,KI,1577896245,76,3.07,172.79,83.97,7.65
200,Florianopolis,20,BR,1577896246,66,-27.6,-48.55,99.0,8.05
201,Shenjiamen,35,CN,1577896247,67,29.96,122.3,52.41,8.7
202,Grenada,1,US,1577896249,75,33.77,-89.81,50.0,8.48
203,Lebu,55,ET,1577896250,70,8.96,38.73,57.04,5.84
204,Tucurui,98,BR,1577896251,63,-3.77,-49.67,86.49,0.92
205,Cacu,87,BR,1577896252,53,-18.56,-51.13,87.67,4.76
206,Kerikeri,82,NZ,1577896253,91,-35.23,173.95,57.99,8.01
207,Hofn,82,IS,1577896254,90,64.25,-15.21,40.96,28.21
208,Garden City,1,US,1577896255,100,43.62,-116.24,41.0,3.36
209,Carutapera,35,BR,1577896256,80,-1.2,-46.02,81.19,14.0
210,Vestmannaeyjar,100,IS,1577896258,67,63.44,-20.27,40.14,33.46
211,Boyolangu,100,ID,1577896259,93,-8.09,111.9,73.31,3.74
212,Anchorage,90,US,1577896188,66,61.22,-149.89,15.01,6.93
213,Tuktoyaktuk,90,CA,1577896261,70,69.44,-133.03,-4.0,10.29
214,Narrabri,13,AU,1577896262,28,-30.33,149.78,86.0,5.82
215,Komsomolskiy,100,RU,1577896263,95,67.55,63.78,4.21,14.76
216,Shingu,0,JP,1577896264,71,33.72,135.99,43.88,8.46
217,Sorland,75,NO,1577896265,81,67.67,12.69,46.4,39.15
218,Tanhacu,45,BR,1577896266,33,-14.02,-41.25,97.02,2.08
219,Manicore,100,BR,1577896268,87,-5.81,-61.3,81.99,3.11
220,Mao,20,DO,1577896269,74,19.55,-71.08,84.99,6.93
221,Jhajjar,20,IN,1577896270,87,28.61,76.66,57.0,4.83
222,Banda Aceh,52,ID,1577896271,83,5.56,95.32,72.3,5.7
223,Alice Springs,17,AU,1577896272,16,-23.7,133.88,86.0,10.29
224,Nesbyen,98,NO,1577896273,85,60.57,9.1,43.0,37.0
225,Tual,87,ID,1577896274,73,-5.67,132.75,83.82,5.73
226,Ixtapa,90,MX,1577896151,88,20.71,-105.21,73.0,6.93
227,Deputatskiy,74,RU,1577896277,79,69.3,139.9,-28.23,2.39
228,Najran,0,SA,1577896278,36,17.54,44.22,75.2,4.7
229,Monte Alegre de Minas,100,BR,1577896279,60,-18.87,-48.88,83.95,5.14
230,Vilyuysk,81,RU,1577896280,98,63.75,121.63,-31.68,3.85
231,Buala,25,SB,1577896281,82,-8.15,159.59,78.44,4.09
232,Mahibadhoo,55,MV,1577896282,77,3.78,72.97,81.82,13.44
233,Gubkinskiy,97,RU,1577896284,95,64.43,76.5,2.08,11.34
234,Solnechnyy,70,RU,1577896285,83,50.72,136.64,-12.24,1.83
235,Martapura,94,ID,1577896286,90,-3.41,114.85,75.4,2.82
236,Rawson,14,AR,1577896287,71,-43.3,-65.11,65.19,24.61
237,Lae,99,PG,1577896288,91,-6.72,146.98,66.04,2.01
238,Lima,75,PE,1577896092,73,-12.06,-77.04,75.2,11.41
239,Tarakan,30,ID,1577896164,81,3.3,117.63,79.7,7.02
240,Muroto,0,JP,1577896292,72,33.37,134.14,37.11,4.65
241,Byron Bay,35,AU,1577896293,88,-28.65,153.62,73.0,6.93
242,Monki,70,PL,1577896294,86,53.41,22.8,37.0,13.65
243,Baikunthpur,100,IN,1577896295,86,23.26,82.56,52.45,3.76
244,Isangel,41,VU,1577896296,75,-19.55,169.27,74.26,11.74
245,Haikou,75,CN,1577896297,83,20.04,110.34,69.8,8.95
246,Itarema,63,BR,1577896298,51,-2.92,-39.92,88.11,11.21
247,Codrington,4,AU,1577896299,88,-28.95,153.24,71.6,5.82
248,Volksrust,33,ZA,1577896301,85,-27.36,29.88,64.13,7.63
249,Elizabeth City,1,US,1577896302,53,36.3,-76.22,53.01,9.17
250,Coquimbo,90,CL,1577896303,77,-29.95,-71.34,62.6,9.17
251,Mount Gambier,0,AU,1577896304,93,-37.83,140.78,51.8,2.68
252,Oranjemund,0,ZA,1577896305,88,-28.55,16.43,62.6,15.21
253,Acapulco,20,MX,1577896306,69,16.86,-99.88,82.4,3.36
254,Sibu,75,MY,1577896307,94,2.29,111.83,78.8,3.36
255,Kysyl-Syr,39,RU,1577896309,97,63.9,122.77,-33.92,3.67
256,Aracataca,40,CO,1577896310,70,10.59,-74.19,87.8,4.7
257,Filingue,0,NE,1577896311,13,14.35,3.32,71.74,10.6
258,Caravelas,56,BR,1577896312,62,-17.73,-39.27,85.53,13.62
259,Beloha,0,MG,1577896313,77,-25.17,45.06,73.94,14.72
260,Tucumcari,1,US,1577896314,30,35.17,-103.73,44.6,12.75
261,Kaeo,82,NZ,1577896315,100,-35.1,173.78,57.99,5.55
262,Walvis Bay,24,NA,1577896316,60,-22.95,14.51,69.8,8.05
263,Rongcheng,71,CN,1577896318,43,37.16,122.42,33.53,5.55
264,Ust-Kut,91,RU,1577896319,97,56.78,105.75,3.63,4.32
265,Ilulissat,100,GL,1577896320,71,69.22,-51.1,8.6,6.93
266,Tiksi,0,RU,1577896321,80,71.64,128.87,-28.05,4.9
267,Kautokeino,100,NO,1577896322,95,69.01,23.04,18.39,11.32
268,Lodwar,100,KE,1577896323,25,3.12,35.6,89.91,14.38
269,Homer,90,US,1577896325,85,59.64,-151.54,10.4,24.16
270,Nurota,98,UZ,1577896326,69,40.56,65.69,37.4,2.24
271,Marystown,100,CA,1577896327,100,47.17,-55.16,37.0,11.01
272,Constitucion,90,MX,1577896328,100,23.99,-104.67,46.4,6.93
273,Hobyo,9,SO,1577896329,76,5.35,48.53,79.07,15.46
274,Salinas,1,US,1577896330,87,36.67,-121.66,51.01,6.93
275,Chimbote,7,PE,1577896332,53,-9.08,-78.59,81.37,11.88
276,Den Helder,90,NL,1577896219,100,52.96,4.76,37.0,8.05
277,Costa Rica,90,MX,1577896334,88,24.59,-107.39,66.0,10.87
278,Port Lincoln,0,AU,1577896335,83,-34.72,135.86,61.2,8.19
279,Ilhabela,95,BR,1577896336,75,-23.78,-45.36,80.89,17.4
280,Matagami,4,NG,1577896337,23,9.67,8.4,72.72,6.87
281,California City,1,US,1577896338,69,35.13,-117.99,45.0,8.05
282,Samarai,64,PG,1577896339,89,-10.62,150.67,76.15,1.74
283,Esperance,90,AU,1577896340,88,-33.86,121.89,66.2,14.99
284,Souillac,90,FR,1577896342,87,45.6,-0.6,52.0,11.41
285,Kiunga,100,PG,1577896343,99,-6.12,141.3,72.75,1.59
286,Chicama,20,PE,1577896344,83,-7.84,-79.15,71.6,10.29
287,Airai,94,TL,1577896345,92,-8.93,125.41,68.29,1.79
288,Mahajanga,40,MG,1577896346,78,-15.72,46.32,80.6,8.05
289,Pevek,0,RU,1577896347,96,69.7,170.27,-23.35,7.14
290,La Rioja,17,AR,1577896348,42,-29.41,-66.86,81.21,8.08
291,Kawalu,100,ID,1577896349,88,-7.38,108.21,70.41,2.15
292,Sungairaya,100,ID,1577896351,96,0.7,108.9,75.7,2.66
293,Padang,100,ID,1577896352,82,-0.92,100.36,70.11,5.77
294,Amga,72,RU,1577896353,99,60.89,131.98,-31.05,0.94
295,Balkanabat,0,TM,1577896354,63,39.51,54.36,42.73,6.13
296,Adrar,0,DZ,1577896355,31,27.87,-0.29,60.8,11.41
297,Nguruka,82,TZ,1577896356,91,-5.11,31.04,68.61,2.35
298,Khash,82,IR,1577896357,73,28.22,61.21,51.1,17.58
299,Dunedin,100,NZ,1577896253,94,-45.87,170.5,54.0,8.41
300,Killybegs,20,IE,1577896360,87,54.63,-8.45,48.2,9.17
301,Vanavara,84,RU,1577896361,98,60.35,102.28,-1.19,3.87
302,Bezhetsk,100,RU,1577896362,91,57.78,36.69,29.59,7.87
303,Hun,0,BE,1577896363,88,50.34,4.87,37.99,6.93
304,Pangnirtung,90,CA,1577896364,58,66.15,-65.72,-2.2,6.93
305,Pucallpa,75,PE,1577896365,100,-8.38,-74.54,35.6,10.29
306,Sar-e Pul,99,AF,1577896367,70,36.22,65.93,35.76,1.88
307,Great Falls,75,US,1577896368,60,47.5,-111.29,45.0,19.46
308,Krasnoye,75,RU,1577896369,86,44.87,39.46,41.0,6.71
309,Labuhan,100,ID,1577896370,94,-2.54,115.51,73.62,2.04
310,Stephenville,75,CA,1577896082,69,48.55,-58.59,37.99,32.21
311,Bulawayo,100,ZW,1577896188,40,-20.16,28.59,85.21,11.07
312,Novaya Igirma,97,RU,1577896373,93,57.14,103.93,7.86,6.08
313,Lerici,0,IT,1577896374,87,44.07,9.91,50.0,2.24
314,Cabo San Lucas,75,MX,1577896263,87,22.89,-109.91,63.0,4.7
315,Zhenlai,52,CN,1577896377,79,45.84,123.2,-1.05,6.35
316,Oudtshoorn,75,ZA,1577896378,83,-33.59,22.2,69.8,11.41
317,Dawlatabad,100,AF,1577896379,82,36.41,64.91,45.03,8.81
318,Markova,90,RU,1577896380,85,52.21,104.21,14.0,11.18
319,Kudahuvadhoo,0,MV,1577896381,78,2.67,72.89,82.08,13.87
320,Nkoteng,86,CM,1577896382,30,4.5,12.12,79.39,2.98
321,Ewa Beach,20,US,1577896383,68,21.32,-158.01,73.99,5.82
322,Ancud,0,CL,1577896385,53,-41.87,-73.83,71.6,6.93
323,Dekar,100,BW,1577896386,58,-21.53,21.93,78.58,5.93
324,Kozhva,83,RU,1577896387,94,65.11,57.05,10.67,7.11
325,Khani,90,GE,1577896388,100,41.96,42.96,44.6,5.82
326,Puerto Madryn,0,AR,1577896389,41,-42.77,-65.04,76.08,29.01
327,Luena,100,AO,1577896390,87,-11.78,19.91,67.41,1.59
328,Marrakesh,0,MA,1577896391,26,31.63,-7.99,69.8,6.93
329,Toora-Khem,98,RU,1577896393,89,52.47,96.11,0.77,2.44
330,Longyearbyen,90,NO,1577896394,78,78.22,15.63,8.6,9.17
331,Manggar,100,ID,1577896395,80,-2.88,108.27,81.55,13.35
332,Kirakira,38,SB,1577896396,83,-10.46,161.92,76.08,4.79
333,Asaba,13,NG,1577896397,21,6.19,6.75,82.53,2.08
334,Inirida,60,CO,1577896398,48,3.87,-67.92,92.91,2.77
335,Mangaratiba,100,BR,1577896372,42,-22.96,-44.04,98.6,13.87
336,Thompson,90,CA,1577896391,92,55.74,-97.86,8.6,5.82
337,Saryagash,58,KZ,1577896402,35,41.45,69.17,32.0,4.7
338,Paamiut,6,GL,1577896403,47,61.99,-49.67,17.51,8.61
339,Shelburne,90,CA,1577896310,74,44.08,-80.2,30.99,12.75
340,Pontes e Lacerda,35,BR,1577896405,62,-15.23,-59.33,88.77,4.47
341,Taltal,17,CL,1577896406,67,-25.41,-70.49,66.99,8.28
342,The Valley,40,AI,1577896407,88,18.22,-63.06,84.99,3.36
343,Oistins,20,BB,1577896409,58,13.07,-59.53,86.0,13.87
344,Chhatapur,40,IN,1577896410,82,23.07,86.96,64.4,11.41
345,Santa Cruz do Rio Pardo,76,BR,1577896411,49,-22.91,-49.63,88.86,8.5
346,Beeville,100,US,1577896412,82,28.4,-97.75,55.0,4.0
347,Hualmay,42,PE,1577896413,55,-11.1,-77.61,79.12,10.04
348,Takoradi,28,GH,1577896414,68,4.89,-1.75,82.58,9.64
349,Cherskiy,97,RU,1577896384,74,68.75,161.3,-10.01,11.54
350,Svilajnac,40,RS,1577896416,100,44.23,21.19,33.8,2.24
351,Nishihara,1,JP,1577896418,69,35.74,139.53,43.0,9.19
352,Bilma,10,NE,1577896419,23,18.69,12.92,51.12,14.32
353,Betulia,75,CO,1577896420,69,6.11,-75.98,73.4,2.24
354,Santa Cruz del Sur,31,CU,1577896422,75,20.71,-78.0,79.39,11.41
355,Portsmouth,90,GB,1577896301,93,50.8,-1.08,46.99,3.13
356,Castilho,0,BR,1577896149,48,-20.87,-51.49,91.06,4.41
357,Rio Grande,90,BR,1577896415,88,-32.03,-52.1,77.0,13.87
358,Forssa,68,FI,1577896426,80,60.82,23.63,36.0,14.99
359,Los Llanos de Aridane,46,ES,1577896428,53,28.66,-17.92,71.6,5.82
360,Tilichiki,100,RU,1577896429,81,60.47,166.1,-4.54,8.75
361,Imeni Poliny Osipenko,100,RU,1577896430,89,52.42,136.49,-8.7,7.61
362,Rio Gallegos,20,AR,1577896230,48,-51.62,-69.22,75.2,17.22
363,Xining,0,CN,1577896432,53,36.62,101.77,20.08,2.28
364,Donskoye,75,RU,1577896433,70,45.45,41.98,33.8,11.18
365,Talcahuano,75,CL,1577896434,82,-36.72,-73.12,60.8,14.99
366,Abong Mbang,71,CM,1577896435,29,3.98,13.18,75.72,1.57
367,Portland,20,US,1577896437,59,43.66,-70.25,39.0,9.17
368,Koslan,99,RU,1577896438,97,63.46,48.9,4.06,5.7
369,Lorengau,93,PG,1577896439,79,-2.02,147.27,83.25,12.01
370,Annau,75,TM,1577896440,75,37.89,58.52,46.4,4.7
371,Turka,11,RU,1577896441,86,52.95,108.22,11.43,8.37
372,Mazagao,75,BR,1577896442,70,-0.12,-51.29,87.8,8.05
